Date (date),State Name (state_name),State Code (state_code),RTO Name (office_name),RTO Code (office_code),Fuel Type (fuel_type),Category (category),Registrations (registrations)
"2020-04-01","Jharkhand","20","West Singhbhum (Chaibasa)","JH6","Diesel","Fuel","8.0"
"2023-12-01","Himachal Pradesh","02","Rla Mandi","HP33","Petrol/Ethanol","Fuel","1.0"
"2020-04-01","Punjab","03","Sdm Rajpura","PB39","Petrol","Fuel","1.0"
"2022-05-01","Maharashtra","27","Baramati","MH42","Petrol/Hybrid","Fuel","38.0"
"2023-11-01","Kerala","32","Nedumangadu Srto","KL21","Petrol/Ethanol","Fuel","67.0"
"2022-07-01","Maharashtra","27","Mumbai (Central)","MH1","Diesel/Hybrid","Fuel","5.0"
"2019-03-01","Haryana","06","Kanina","HR82","Petrol","Fuel","280.0"
"2023-06-01","Gujarat","24","Mehsana","GJ2","Cng Only","Fuel","213.0"
"2024-04-01","Andhra Pradesh","28","Srikakulam Rta","AP30","Petrol/Hybrid","Fuel","33.0"
"2022-07-01","Haryana","06","Kaithal","HR8","Petrol/Cng","Fuel","8.0"
"2022-10-01","Karnataka","29","Jamkhandi Arto","KA48","Cng Only","Fuel","2.0"
"2020-07-01","Himachal Pradesh","02","Rla Shri Naina Devi Ji Swarghat","HP91","Petrol","Fuel","79.0"
"2021-07-01","Uttar Pradesh","09","Bahraich","UP40","Petrol/Hybrid","Fuel","4.0"
"2023-08-01","Haryana","06","Rta, Jhajjar At Bahadurgarh","HR63","Petrol/Hybrid","Fuel","2.0"
"2022-12-01","Madhya Pradesh","23","Satna Arto","MP19","Petrol/Hybrid","Fuel","11.0"
"2021-07-01","Arunachal Pradesh","12","Lower Siang","AR22","Diesel","Fuel","209496.0"
"2024-02-01","Rajasthan","08","Bikaner Rto","RJ7","Cng Only","Fuel","28.0"
"2020-03-01","Rajasthan","08","Karoli Dto","RJ34","Petrol/Cng","Fuel","2.0"
"2019-08-01","Punjab","03","Muktsar Sdm","PB30","Petrol/Cng","Fuel","2.0"
"2019-08-01","Goa","30","Panaji Rto","GA7","Electric(Bov)","Fuel","1.0"
"2023-08-01","Odisha","21","Dhenkanal Rto","OR6","Petrol/Hybrid","Fuel","1.0"
"2019-03-01","Odisha","21","Raygada Rto","OR18","Electric(Bov)","Fuel","2.0"
"2021-12-01","Bihar","10","Muzaffarpur","BR6","Diesel","Fuel","452.0"
"2020-09-01","Chhattisgarh","22","Jagdalpur Rto","CG17","Diesel","Fuel","108.0"
"2021-11-01","Bihar","10","Siwan","BR29","Petrol/Hybrid","Fuel","6.0"
"2019-07-01","Tamil Nadu","33","Tiruchi(East) Rto","TN81","Diesel","Fuel","50.0"
"2023-10-01","Haryana","06","Nuh","HR27","Petrol/Cng","Fuel","9.0"
"2023-05-01","Kerala","32","Chadayamangala Srto","KL82","Petrol/Ethanol","Fuel","37.0"
"2023-05-01","Punjab","03","Sdm Samrala","PB43","Petrol/Hybrid","Fuel","9.0"
"2020-03-01","Tamil Nadu","33","Nagercoil Rto","TN74","Petrol/Hybrid","Fuel","6.0"
"2022-05-01","West Bengal","19","Purba Burdwan Rto","WB41","Petrol","Fuel","2040.0"
"2022-07-01","Meghalaya","17","Baghmara","ML9","Diesel","Fuel","16.0"
"2022-12-01","Kerala","32","Karunagappally Srto","KL23","Cng Only","Fuel","19.0"
"2022-04-01","West Bengal","19","Dakshin Dinajpur Rto","WB61","Not Applicable","Fuel","5.0"
"2020-02-01","Kerala","32","North Parur Srto","KL42","Diesel/Hybrid","Fuel","1.0"
"2019-04-01","Madhya Pradesh","23","Sagar Rto","MP15","Electric(Bov)","Fuel","1.0"
"2023-11-01","Punjab","03","Sdm Guru Har Sahai","PB77","Electric(Bov)","Fuel","1.0"
"2022-06-01","Punjab","03","Rto Bathinda","PB3","Electric(Bov)","Fuel","34.0"
"2022-05-01","Tamil Nadu","33","Rto Chennai (North West)","TN2","Diesel","Fuel","138.0"
"2019-02-01","Delhi","07","Burari Auto Unit","DL53","Cng Only","Fuel","8.0"
"2024-01-01","Tamil Nadu","33","Pudukottai Rto","TN55","Electric(Bov)","Fuel","36.0"
"2023-12-01","Rajasthan","08","Balotra Dto","RJ39","Petrol/Cng","Fuel","15.0"
"2023-06-01","Maharashtra","27","Akluj","MH45","Petrol/Hybrid","Fuel","7.0"
"2023-02-01","Gujarat","24","Modasa","GJ31","Cng Only","Fuel","72.0"
"2023-03-01","Tamil Nadu","33","Sivagangai Rto","TN63","Diesel","Fuel","138.0"
"2023-10-01","Gujarat","24","Sabarkantha","GJ9","Petrol","Fuel","2652.0"
"2023-11-01","Tamil Nadu","33","Dindigul Rto","TN57","Petrol","Fuel","994.0"
"2023-05-01","Punjab","03","Sdm Phagwara","PB36","Petrol","Fuel","369.0"
"2021-06-01","Tamil Nadu","33","Musuri Uo","TN621","Diesel","Fuel","14.0"
"2021-09-01","Karnataka","29","Nelamangala Rto","KA52","Petrol/Cng","Fuel","7.0"
"2019-08-01","Haryana","06","Kosli","HR43","Petrol/Cng","Fuel","15.0"
"2022-10-01","Tamil Nadu","33","Sriperumbudur Rto","TN614","Cng Only","Fuel","3.0"
"2021-07-01","Haryana","06","Rta, Rewari","HR47","Cng Only","Fuel","97.0"
"2022-11-01","Maharashtra","27","Solapur","MH13","Cng Only","Fuel","75.0"
"2022-02-01","Karnataka","29","Hunsur Arto","KA45","Not Applicable","Fuel","5.0"
"2024-05-01","Bihar","10","Banka","BR51","Electric(Bov)","Fuel","92.0"
"2019-11-01","Himachal Pradesh","02","Rla Udaipur","HP43","Diesel","Fuel","2.0"
"2019-06-01","Jammu And Kashmir","01","Doda Arto","JK6","Petrol","Fuel","186.0"
"2020-05-01","Kerala","32","Vadakara Rto","KL18","Diesel","Fuel","5.0"
"2023-04-01","Tamil Nadu","33","Sathyamangalam Uo","TN579","Petrol/Hybrid","Fuel","3.0"
"2020-04-01","Uttar Pradesh","09","Etawah","UP75","Petrol/Lpg","Fuel","7.0"
"2023-07-01","Odisha","21","Jagatsinghpur Rto","OR21","Not Applicable","Fuel","8.0"
"2019-03-01","Tamil Nadu","33","Madurai (South) Rto","TN58","Electric(Bov)","Fuel","3.0"
"2021-04-01","West Bengal","19","Malda Rto","WB65","Petrol/Hybrid","Fuel","4.0"
"2022-02-01","Uttar Pradesh","09","Mathura","UP85","Petrol","Fuel","2752.0"
"2020-12-01","Bihar","10","Darbhanga","BR7","Electric(Bov)","Fuel","26.0"
"2022-10-01","Bihar","10","Siwan","BR29","Petrol/Cng","Fuel","1.0"
"2022-03-01","Tamil Nadu","33","Attur Rto","TN591","Diesel","Fuel","115.0"
"2019-04-01","Haryana","06","Ganaur","HR42","Petrol","Fuel","423.0"
"2024-05-01","Bihar","10","Khagaria","BR34","Petrol","Fuel","1447.0"
"2020-08-01","Karnataka","29","Gadag Rto","KA26","Diesel","Fuel","200.0"
"2019-01-01","Karnataka","29","Dharwad East Rto","KA63","Electric(Bov)","Fuel","2.0"
"2020-11-01","Himachal Pradesh","02","Rla Dalhousie","HP47","Petrol/Hybrid","Fuel","2.0"
"2019-07-01","Karnataka","29","Chikamanglur Rto","KA18","Petrol/Hybrid","Fuel","4.0"
"2023-07-01","Assam","18","Tinsukia","AS23","Electric(Bov)","Fuel","86.0"
"2020-02-01","Karnataka","29","Shimoga Rto","KA14","Petrol/Lpg","Fuel","47.0"
"2020-07-01","Haryana","06","Rta, Mohindergarh","HR66","Petrol/Cng","Fuel","5.0"
"2023-12-01","Jharkhand","20","Giridih","JH11","Petrol/Ethanol","Fuel","66.0"
"2022-08-01","Andhra Pradesh","28","Hindupur Rta","AP102","Electric(Bov)","Fuel","89012.0"
"2020-08-01","Uttar Pradesh","09","Maharajganj","UP56","Petrol","Fuel","1679.0"
"2024-04-01","Maharashtra","27","Nanded","MH26","Diesel","Fuel","423.0"
"2019-04-01","Uttar Pradesh","09","Agra Rto","UP80","Petrol/Lpg","Fuel","31.0"
"2023-07-01","Tamil Nadu","33","Kallakurichi Rto","TN615","Petrol/Cng","Fuel","5.0"
"2021-03-01","Meghalaya","17","Shillong","ML5","Petrol/Hybrid","Fuel","10.0"
"2019-09-01","Karnataka","29","Mandya Rto","KA11","Petrol/Hybrid","Fuel","2.0"
"2023-04-01","Tamil Nadu","33","Gingee Uo","TN627","Diesel","Fuel","56.0"
"2022-04-01","Tamil Nadu","33","Avinashi Uo","TN580","Diesel","Fuel","75.0"
"2022-08-01","Karnataka","29","Mangalore Rto","KA19","Petrol","Fuel","2658.0"
"2022-08-01","Gujarat","24","Junagadh","GJ11","Diesel","Fuel","209.0"
"2020-10-01","Andhra Pradesh","28","Paderu Rta","AP41","Diesel","Fuel","86.0"
"2024-03-01","Tamil Nadu","33","Illuppur Uo","TN629","Petrol/Cng","Fuel","3.0"
"2019-04-01","Tamil Nadu","33","Usilampatti Uo","TN636","Petrol","Fuel","306.0"
"2020-05-01","Karnataka","29","Sagar Arto","KA15","Electric(Bov)","Fuel","1.0"
"2024-04-01","Karnataka","29","Gokak Arto","KA49","Petrol","Fuel","812.0"
"2021-01-01","Kerala","32","Kanjirappally Srto","KL34","Petrol/Hybrid","Fuel","12.0"
"2021-02-01","Haryana","06","Sdm Radaur","HR92","Petrol/Cng","Fuel","2.0"
"2019-10-01","Madhya Pradesh","23","Badwani Dto","MP46","Petrol","Fuel","906.0"
"2019-12-01","Rajasthan","08","Ramganjmandi Dto","RJ33","Diesel/Hybrid","Fuel","2.0"
"2022-04-01","West Bengal","19","Contai Arto","WB31","Diesel","Fuel","70.0"
"2023-12-01","Tamil Nadu","33","Dharmapuri Rto","TN29","Diesel/Hybrid","Fuel","1.0"
"2020-07-01","Goa","30","Vasco Rto","GA6","Petrol/Hybrid","Fuel","1.0"
"2019-02-01","Chandigarh","04","Chandigarh Ut (Rla And Sta)","CH1","Petrol","Fuel","4138.0"
"2020-12-01","Odisha","21","Angul Rto","OR19","Not Applicable","Fuel","1.0"
"2021-05-01","Tamil Nadu","33","Chennai (West) Rto","TN9","Lpg Only","Fuel","1.0"
"2019-08-01","Chhattisgarh","22","Kawardha Dto","CG9","Diesel","Fuel","174.0"
"2022-01-01","Chhattisgarh","22","Bemetara Dto","CG25","Electric(Bov)","Fuel","8.0"
"2021-03-01","Gujarat","24","Kachchh","GJ12","Petrol/Hybrid","Fuel","33.0"
"2022-10-01","Odisha","21","Rairangpur Arto","OR111","Cng Only","Fuel","1.0"
"2021-03-01","Karnataka","29","Athani Arto","KA71","Petrol/Cng","Fuel","4.0"
"2023-09-01","Maharashtra","27","Aurangabad","MH20","Petrol/Cng","Fuel","257.0"
"2020-09-01","West Bengal","19","Saltlake Arto","WB7","Petrol/Hybrid","Fuel","17.0"
"2023-01-01","Tamil Nadu","33","Gopichettipalayam Rto","TN36","Diesel","Fuel","51.0"
"2020-12-01","Haryana","06","Ganaur","HR42","Petrol","Fuel","553.0"
"2020-02-01","Madhya Pradesh","23","Burhanpur Dto","MP68","Petrol/Lpg","Fuel","9.0"
"2020-09-01","Odisha","21","Sonepur Rto","OR31","Petrol","Fuel","525.0"
"2021-11-01","Himachal Pradesh","02","Rla Haroli","HP80","Diesel","Fuel","6.0"
"2020-11-01","Chhattisgarh","22","Raipur Rto","CG4","Not Applicable","Fuel","122.0"
"2023-06-01","Bihar","10","Samastipur","BR33","Electric(Bov)","Fuel","268.0"
"2022-07-01","Gujarat","24","Dahod","GJ20","Cng Only","Fuel","34.0"
"2020-08-01","Jammu And Kashmir","01","Anantnag Arto","JK3","Petrol","Fuel","3184.0"
"2019-07-01","Karnataka","29","Tumkur Rto","KA6","Diesel/Hybrid","Fuel","6.0"
"2019-09-01","Karnataka","29","Hassan Rto","KA13","Diesel","Fuel","352.0"
"2022-12-01","Odisha","21","Rourkela Rto","OR14","Diesel","Fuel","244.0"
"2023-08-01","Punjab","03","Sdm Khamano","PB49","Petrol","Fuel","124.0"
"2023-07-01","Uttarakhand","05","Pithoragarh Arto","UK5","Petrol/Ethanol","Fuel","7.0"
"2023-03-01","Punjab","03","Sdm Patran","PB72","Diesel","Fuel","22.0"
"2023-08-01","Meghalaya","17","Nongstoin","ML6","Diesel","Fuel","7.0"
"2023-01-01","Jammu And Kashmir","01","Samba Arto","JK21","Petrol","Fuel","465.0"
"2021-01-01","Bihar","10","Darbhanga","BR7","Not Applicable","Fuel","4.0"
"2021-04-01","Goa","30","Mapusa Rto","GA3","Petrol","Fuel","1022.0"
"2020-02-01","Tamil Nadu","33","Perundurai Rto","TN56","Diesel/Hybrid","Fuel","1.0"
"2022-10-01","Chhattisgarh","22","Jashpur Dto","CG14","Electric(Bov)","Fuel","26.0"
"2024-04-01","Kerala","32","Kodungallur Srto","KL47","Petrol","Fuel","405.0"
"2023-07-01","Uttarakhand","05","Karanprayag Arto","UK11","Petrol","Fuel","203.0"
"2019-06-01","Uttar Pradesh","09","Jhansirto","UP93","Diesel","Fuel","479.0"
"2021-10-01","Kerala","32","Kunnathur Srto","KL61","Petrol","Fuel","350.0"
"2024-03-01","Odisha","21","Deogarh Rto","OR28","Electric(Bov)","Fuel","17.0"
"2019-04-01","Tamil Nadu","33","Viluppuram Rto","TN32","Electric(Bov)","Fuel","4.0"
"2022-07-01","Haryana","06","Ferozepur Zirkha","HR28","Petrol/Cng","Fuel","10.0"
"2023-12-01","Chhattisgarh","22","Dantewada Dto","CG18","Diesel","Fuel","74.0"
"2023-08-01","Bihar","10","Banka","BR51","Petrol","Fuel","452.0"
"2019-06-01","Haryana","06","Ballabgarh","HR29","Petrol/Cng","Fuel","109.0"
"2019-09-01","Kerala","32","Wayanad Rto","KL12","Petrol/Lpg","Fuel","1.0"
"2019-12-01","Kerala","32","Iritty Srto","KL78","Petrol/Hybrid","Fuel","3.0"
"2021-12-01","Uttarakhand","05","Haridwar Arto","UK8","Diesel","Fuel","170.0"
"2022-02-01","Tamil Nadu","33","Neyveli Uo","TN562","Petrol/Hybrid","Fuel","7.0"
"2021-06-01","Haryana","06","Sdm Shahabad","HR78","Petrol/Cng","Fuel","3.0"
"2020-07-01","Gujarat","24","Valsad","GJ15","Not Applicable","Fuel","1.0"
"2022-01-01","Gujarat","24","Dahod","GJ20","Petrol/Hybrid","Fuel","8.0"
"2021-12-01","Delhi","07","Loni Road","DL5","Petrol/Cng","Fuel","139.0"
"2020-10-01","Madhya Pradesh","23","Betul Dto","MP48","Electric(Bov)","Fuel","11454.0"
"2019-06-01","Andhra Pradesh","28","Tadepalli Gudem Uo","AP437","Not Applicable","Fuel","2.0"
"2022-05-01","Karnataka","29","Yadgiri Rto","KA33","Not Applicable","Fuel","19.0"
"2019-07-01","Rajasthan","08","Bhiwari Dto","RJ40","Electric(Bov)","Fuel","22.0"
"2021-05-01","Andhra Pradesh","28","Jangareddygudem Rta","AP237","Electric(Bov)","Fuel","3.0"
"2020-12-01","Assam","18","Karimganj","AS10","Petrol/Hybrid","Fuel","2.0"
"2023-10-01","Tamil Nadu","33","Krishnagiri Rto","TN24","Petrol/Ethanol","Fuel","133.0"
"2021-02-01","Kerala","32","Karunagappally Srto","KL23","Petrol/Hybrid","Fuel","13.0"
"2019-10-01","Punjab","03","Patran Sdm","PB72","Diesel","Fuel","17.0"
"2021-11-01","Uttarakhand","05","Dehradun Rto","UK7","Not Applicable","Fuel","1.0"
"2024-01-01","Odisha","21","Bhubaneswar Rto","OR2","Not Applicable","Fuel","5.0"
"2020-07-01","Karnataka","29","Dharwad East Rto","KA63","Lpg Only","Fuel","9.0"
"2022-02-01","Kerala","32","Kozhikode Rto","KL11","Petrol/Lpg","Fuel","1.0"
"2021-07-01","Tamil Nadu","33","Thiruthuraipoondi Uo","TN630","Petrol","Fuel","464.0"
"2023-10-01","Uttar Pradesh","09","Unnao","UP35","Petrol","Fuel","2081.0"
"2020-12-01","Punjab","03","Sdm Amritsar-2","PB89","Diesel","Fuel","9.0"
"2020-10-01","Andhra Pradesh","28","Chirala Uo","AP127","Diesel","Fuel","52.0"
"2023-01-01","Jharkhand","20","Deoghar","JH15","Diesel","Fuel","109.0"
"2019-02-01","Punjab","03","Bathinda Rta","PB3","Diesel","Fuel","738.0"
"2021-08-01","Punjab","03","Rto Hoshiarpur","PB7","Petrol/Cng","Fuel","8.0"
"2022-07-01","Gujarat","24","Ahmedabad East","GJ27","Diesel","Fuel","620.0"
"2023-01-01","Uttar Pradesh","09","Sahjahanpur","UP27","Petrol/Hybrid","Fuel","29.0"
"2020-11-01","Meghalaya","17","Shillong","ML5","Petrol/Hybrid","Fuel","12.0"
"2019-09-01","Tamil Nadu","33","Valliyur Uo","TN608","Petrol","Fuel","818.0"
"2019-11-01","West Bengal","19","Katwa Arto","WB75","Petrol/Hybrid","Fuel","1.0"
"2024-03-01","Gujarat","24","Amreli","GJ14","Electric(Bov)","Fuel","22.0"
"2023-02-01","Delhi","07","Dwarka","DL9","Diesel","Fuel","133.0"
"2022-12-01","West Bengal","19","Baruipur Arto","WB95","Cng Only","Fuel","2.0"
"2019-03-01","Jammu And Kashmir","01","Ramban Arto","JK19","Petrol","Fuel","102.0"
"2021-07-01","Maharashtra","27","Vashi (New Mumbai)","MH43","Petrol/Cng","Fuel","326.0"
"2023-05-01","Kerala","32","Changanacherry Srto","KL33","Petrol/Hybrid","Fuel","22.0"
"2021-12-01","Uttar Pradesh","09","Auraiya","UP79","Petrol/Cng","Fuel","63.0"
"2024-01-01","Tamil Nadu","33","Paramakudi Uo","TN603","Petrol/Hybrid","Fuel","19.0"
"2022-02-01","Gujarat","24","Modasa","GJ31","Petrol","Fuel","847.0"
"2021-12-01","Mizoram","15","Lunglei","MZ2","Petrol","Fuel","134.0"
"2019-04-01","Odisha","21","Bhubaneswar Rto","OR2","Petrol/Cng","Fuel","70.0"
"2023-07-01","Tamil Nadu","33","Namakkal (South) Rto","TN88","Petrol/Ethanol","Fuel","37.0"
"2019-01-01","Haryana","06","Tosham","HR48","Petrol","Fuel","289.0"
"2021-02-01","Andhra Pradesh","28","Ravulapalem Uo","AP705","Petrol","Fuel","865.0"
"2021-10-01","Punjab","03","Rto Malerkotla","PB28","Petrol/Hybrid","Fuel","1.0"
"2019-09-01","Andhra Pradesh","28","Narasaraopet Rta","AP107","Electric(Bov)","Fuel","1.0"
"2023-02-01","Haryana","06","Bahadurgarh","HR13","Petrol","Fuel","503.0"
"2022-05-01","Punjab","03","Sdm Dinanagar","PB99","Petrol","Fuel","14.0"
"2021-02-01","Kerala","32","Trivandrum Rto","KL1","Petrol/Lpg","Fuel","28.0"
"2019-10-01","Meghalaya","17","Ampati","ML14","Petrol","Fuel","79.0"
"2024-04-01","Haryana","06","Faridabad","HR51","Petrol/Cng","Fuel","243.0"
"2019-05-01","Kerala","32","Sulthanbathery Srto","KL73","Diesel/Hybrid","Fuel","1.0"
"2023-03-01","West Bengal","19","Katwa Arto","WB75","Electric(Bov)","Fuel","6.0"
"2023-06-01","Uttar Pradesh","09","Etawah","UP75","Petrol/Hybrid","Fuel","8.0"
"2023-06-01","Madhya Pradesh","23","Jabalpur Rto","MP20","Petrol/Ethanol","Fuel","20.0"
"2023-01-01","Maharashtra","27","Nandurbar","MH39","Petrol/Cng","Fuel","2.0"
"2022-10-01","Haryana","06","Panipat","HR6","Diesel","Fuel","182.0"
"2021-05-01","Tamil Nadu","33","Chennai (North) Rto","TN5","Petrol/Lpg","Fuel","1.0"
"2019-05-01","Uttar Pradesh","09","Badaun","UP24","Electric(Bov)","Fuel","15.0"
"2022-07-01","West Bengal","19","Baruipur Arto","WB95","Lpg Only","Fuel","10.0"
"2019-08-01","Odisha","21","Khordha Arto","OR201","Not Applicable","Fuel","7.0"
"2023-05-01","Maharashtra","27","Nagpur (Rural)","MH40","Petrol","Fuel","2513.0"
"2023-09-01","Tamil Nadu","33","Coimbatore (North) Rto","TN38","Diesel","Fuel","210.0"
"2022-07-01","Odisha","21","Bhadrak Rto","OR22","Petrol/Cng","Fuel","3.0"
"2021-02-01","Goa","30","Mapusa Rto","GA3","Petrol/Cng","Fuel","2.0"
"2021-05-01","Uttarakhand","05","Haldwani Rto","UK4","Electric(Bov)","Fuel","5.0"
"2021-07-01","Kerala","32","Payyannur Srto","KL86","Diesel","Fuel","54.0"
"2019-09-01","Haryana","06","Kosli","HR43","Petrol/Cng","Fuel","11.0"
"2022-08-01","West Bengal","19","Contai Arto","WB31","Diesel","Fuel","86.0"
"2023-12-01","Uttar Pradesh","09","Jhansirto","UP93","Electric(Bov)","Fuel","531.0"
"2020-12-01","Andhra Pradesh","28","Narsipatnam Mvi Office","AP331","Diesel","Fuel","20.0"
"2024-05-01","Tamil Nadu","33","Poonamallee Rto","TN511","Lpg Only","Fuel","4.0"
"2019-10-01","Haryana","06","Sonepat","HR10","Petrol/Hybrid","Fuel","12.0"
"2019-06-01","Bihar","10","Buxur","BR44","Electric(Bov)","Fuel","12.0"
"2021-04-01","Gujarat","24","Junagadh","GJ11","Petrol/Cng","Fuel","20.0"
"2023-06-01","Andhra Pradesh","28","Vuyyuru Uo","AP516","Petrol/Hybrid","Fuel","17.0"
"2023-10-01","Andhra Pradesh","28","Nandigama Rta","AP316","Petrol/Ethanol","Fuel","3.0"
"2023-08-01","Tamil Nadu","33","Tenkasi Rto","TN76","Electric(Bov)","Fuel","35.0"
"2023-02-01","Kerala","32","Pathanamthitta Rto","KL3","Diesel","Fuel","34.0"
"2020-01-01","Kerala","32","Thaliparamba Srto","KL59","Petrol/Cng","Fuel","2.0"
"2024-05-01","Andhra Pradesh","28","Tenali Uo","AP707","Petrol","Fuel","556.0"
"2023-04-01","Karnataka","29","Puttur Rto","KA21","Electric(Bov)","Fuel","62.0"
"2020-04-01","Haryana","06","Rta, Hisar","HR39","Diesel","Fuel","98.0"
"2020-11-01","Karnataka","29","Bengaluru North Rto","KA4","Cng Only","Fuel","1.0"
"2022-04-01","Kerala","32","Idukki Rto","KL6","Diesel","Fuel","31.0"
"2019-09-01","Odisha","21","Angul Rto","OR19","Diesel/Hybrid","Fuel","2.0"
"2020-10-01","Chhattisgarh","22","Mahasamund Dto","CG6","Petrol/Hybrid","Fuel","15.0"
"2019-09-01","Madhya Pradesh","23","Indore Rto","MP9","Petrol/Cng","Fuel","359.0"
"2021-06-01","Rajasthan","08","Karoli Dto","RJ34","Petrol/Hybrid","Fuel","8.0"
"2023-04-01","Maharashtra","27","Ambejogai","MH44","Petrol/Hybrid","Fuel","6.0"
"2020-09-01","Himachal Pradesh","02","Rla Pooh","HP27","Petrol","Fuel","30.0"
"2019-12-01","Nagaland","13","Tuensang Dto","NL3","Diesel","Fuel","6.0"
"2022-10-01","Jammu And Kashmir","01","Reasi Arto","JK20","Diesel","Fuel","42.0"
"2019-07-01","Tamil Nadu","33","Paramakudi Uo","TN603","Diesel/Hybrid","Fuel","1.0"
"2020-11-01","Punjab","03","Sdm Khamano","PB49","Diesel","Fuel","6.0"
"2019-04-01","Puducherry","34","Bahour","PY11","Petrol/Hybrid","Fuel","4.0"
"2020-04-01","Maharashtra","27","Thane","MH4","Petrol/Hybrid","Fuel","1.0"
"2021-04-01","Jharkhand","20","Godda","JH17","Electric(Bov)","Fuel","7.0"
"2020-02-01","Uttar Pradesh","09","Jaunpur","UP62","Diesel","Fuel","675.0"
"2022-08-01","Haryana","06","Rta, Karnal","HR45","Petrol/Cng","Fuel","8.0"
"2022-03-01","Gujarat","24","Banaskantha","GJ8","Petrol/Hybrid","Fuel","9.0"
"2024-04-01","Himachal Pradesh","02","Rla Balh","HP82","Diesel","Fuel","34.0"
"2019-07-01","Puducherry","34","Puducherry","PY1","Diesel/Hybrid","Fuel","2.0"
"2019-04-01","Chhattisgarh","22","Baloda Bazar Dto","CG22","Not Applicable","Fuel","11.0"
