Date (date),State Name (state_name),State Code (state_code),RTO Name (office_name),RTO Code (office_code),Fuel Type (fuel_type),Category (category),Registrations (registrations)
"2019-04-01","Uttar Pradesh","09","Ghazipur","UP61","Petrol","Fuel","2223.0"
"2019-04-01","Uttar Pradesh","09","Noida","UP16","Diesel/Hybrid","Fuel","31.0"
"2023-09-01","Punjab","03","Sdm Bholath","PB57","Petrol","Fuel","88.0"
"2024-01-01","Tamil Nadu","33","Erode Rto","TN33","Petrol/Ethanol","Fuel","70.0"
"2019-07-01","Odisha","21","Sonepur Rto","OR31","Diesel/Hybrid","Fuel","1.0"
"2021-11-01","Karnataka","29","Mandya Rto","KA11","Petrol/Cng","Fuel","2.0"
"2024-05-01","Kerala","32","Ottappalam Srto","KL51","Electric(Bov)","Fuel","64.0"
"2019-09-01","Gujarat","24","Kachchh","GJ12","Not Applicable","Fuel","4.0"
"2023-03-01","West Bengal","19","Arambag Arto","WB18","Diesel","Fuel","71.0"
"2023-04-01","Tamil Nadu","33","Coimbatore (North) Rto","TN38","Petrol/Cng","Fuel","4.0"
"2019-12-01","Tamil Nadu","33","Ambur Uo","TN628","Petrol","Fuel","258.0"
"2021-03-01","West Bengal","19","Jangipur Arto","WB93","Petrol/Hybrid","Fuel","3.0"
"2023-06-01","Kerala","32","Vaikom Srto","KL36","Petrol","Fuel","262.0"
"2021-06-01","Jammu And Kashmir","01","Budgam Arto","JK4","Petrol","Fuel","590.0"
"2022-05-01","West Bengal","19","Haldia Arto","WB32","Diesel","Fuel","18.0"
"2019-09-01","Tamil Nadu","33","Chennai (West) Rto","TN9","Petrol/Hybrid","Fuel","17.0"
"2022-02-01","Kerala","32","Thriprayar Srto","KL75","Diesel","Fuel","38.0"
"2021-10-01","Haryana","06","Sdm Beri","HR77","Diesel","Fuel","41.0"
"2022-07-01","Andhra Pradesh","28","Vizianagaram Rta","AP35","Electric(Bov)","Fuel","52.0"
"2023-03-01","Assam","18","Charaideo","AS33","Petrol/Ethanol","Fuel","3.0"
"2021-11-01","Uttarakhand","05","Haridwar Arto","UK8","Petrol/Hybrid","Fuel","9.0"
"2023-04-01","Uttar Pradesh","09","Bandarto","UP90","Petrol/Lpg","Fuel","16.0"
"2022-09-01","Rajasthan","08","Bharatpur Rto","RJ5","Petrol","Fuel","1375.0"
"2023-07-01","Tamil Nadu","33","Ranipet Rto","TN73","Diesel","Fuel","112.0"
"2020-06-01","Arunachal Pradesh","12","Yupia","AR2","Petrol","Fuel","19.0"
"2024-01-01","Madhya Pradesh","23","Rewa Rto","MP17","Petrol","Fuel","2900.0"
"2020-10-01","Andhra Pradesh","28","Markapur Uo","AP327","Diesel","Fuel","169797.0"
"2023-11-01","Tamil Nadu","33","Madurai (North) Rto","TN59","Lpg Only","Fuel","4.0"
"2020-05-01","Madhya Pradesh","23","Rewa Rto","MP17","Not Applicable","Fuel","1.0"
"2022-09-01","Jharkhand","20","Deoghar","JH15","Petrol/Hybrid","Fuel","8.0"
"2021-03-01","Karnataka","29","Athani Arto","KA71","Diesel","Fuel","136.0"
"2019-05-01","Tamil Nadu","33","Coimbatore (South) Rto","TN37","Diesel","Fuel","239.0"
"2021-02-01","Haryana","06","Ambala City","HR1","Petrol/Hybrid","Fuel","5.0"
"2020-08-01","Haryana","06","Charkhi Dadri","HR19","Petrol/Cng","Fuel","34.0"
"2022-06-01","Delhi","07","Sarai Kale Khan","DL6","Petrol","Fuel","1331.0"
"2021-06-01","Delhi","07","Wazirpur","DL8","Petrol/Hybrid","Fuel","105.0"
"2021-08-01","Madhya Pradesh","23","Dindori Dto","MP52","Petrol","Fuel","255.0"
"2019-04-01","Uttar Pradesh","09","Sahjahanpur","UP27","Petrol/Cng","Fuel","3.0"
"2023-09-01","Tamil Nadu","33","Perundurai Rto","TN56","Cng Only","Fuel","4.0"
"2019-08-01","Himachal Pradesh","02","Rla Shimla(Rural)","HP51","Diesel","Fuel","22.0"
"2020-11-01","Punjab","03","Rto Muktsar Sahib","PB30","Petrol/Cng","Fuel","1.0"
"2019-01-01","Chandigarh","04","Chandigarh Ut (Rla And Sta)","CH1","Diesel/Hybrid","Fuel","16.0"
"2023-02-01","Bihar","10","Araria","BR38","Petrol/Hybrid","Fuel","11.0"
"2019-02-01","Meghalaya","17","Shillong","ML5","Petrol","Fuel","881.0"
"2023-05-01","Haryana","06","Panchkula","HR3","Petrol/Hybrid","Fuel","24.0"
"2020-09-01","Gujarat","24","Navsari","GJ21","Cng Only","Fuel","5.0"
"2022-11-01","Punjab","03","Rto Barnala","PB19","Diesel","Fuel","81.0"
"2020-11-01","Tamil Nadu","33","Chennai (West) Rto","TN9","Petrol/Lpg","Fuel","1.0"
"2023-04-01","Rajasthan","08","Sahapura (Bhilwara) Dto","RJ51","Not Applicable","Fuel","9.0"
"2020-05-01","Tamil Nadu","33","Gummidipoondi Uo","TN625","Petrol","Fuel","54.0"
"2022-12-01","Uttar Pradesh","09","Bareilly","UP25","Petrol/Cng","Fuel","131.0"
"2023-09-01","Jharkhand","20","Simdega","JH20","Petrol/Ethanol","Fuel","5.0"
"2023-11-01","Tamil Nadu","33","Salem (South) Rto","TN90","Diesel","Fuel","29.0"
"2019-04-01","Jharkhand","20","East Singhbhum (Jamshedpur)","JH5","Diesel/Hybrid","Fuel","3.0"
"2022-03-01","Haryana","06","Sdm Ambala Cantonment","HR85","Petrol","Fuel","833.0"
"2021-04-01","West Bengal","19","Bangaon Arto","WB27","Lpg Only","Fuel","7.0"
"2019-08-01","Kerala","32","Perumbavur Srto","KL40","Petrol/Hybrid","Fuel","1.0"
"2019-04-01","Kerala","32","Mananthavady Srto","KL72","Petrol/Cng","Fuel","1.0"
"2023-10-01","Kerala","32","Vellarikundu Srto","KL79","Cng Only","Fuel","6.0"
"2024-01-01","Odisha","21","Bhubaneswar Rto","OR2","Diesel/Hybrid","Fuel","5.0"
"2023-01-01","Andhra Pradesh","28","Rta Machilipatnam","AP216","Not Applicable","Fuel","2.0"
"2019-12-01","Odisha","21","Jagatsinghpur Rto","OR21","Diesel","Fuel","114.0"
"2023-10-01","Jammu And Kashmir","01","Jammu Rto","JK2","Electric(Bov)","Fuel","488.0"
"2021-08-01","Arunachal Pradesh","12","East Siang","AR9","Petrol","Fuel","162.0"
"2021-01-01","Madhya Pradesh","23","Raisen Dto","MP38","Petrol/Cng","Fuel","1.0"
"2020-01-01","Haryana","06","Narnaul","HR35","Diesel","Fuel","165.0"
"2023-06-01","Madhya Pradesh","23","Neemuch Dto","MP44","Petrol","Fuel","977.0"
"2021-10-01","Haryana","06","Sonepat","HR10","Petrol","Fuel","677.0"
"2020-02-01","Jammu And Kashmir","01","Kupwara Arto","JK9","Petrol","Fuel","543.0"
"2023-05-01","Tamil Nadu","33","Ambur Uo","TN628","Petrol/Hybrid","Fuel","2.0"
"2023-05-01","Karnataka","29","Dharwad West Rto","KA25","Petrol/Cng","Fuel","24.0"
"2019-01-01","Uttar Pradesh","09","Kaushambi","UP73","Petrol","Fuel","1321.0"
"2019-01-01","Tamil Nadu","33","Melur Uo","TN600","Petrol","Fuel","507.0"
"2023-02-01","Madhya Pradesh","23","Mandsaur Arto","MP14","Electric(Bov)","Fuel","21.0"
"2024-04-01","Uttar Pradesh","09","Mau","UP54","Petrol/Cng","Fuel","60.0"
"2022-04-01","Uttarakhand","05","Vikas Nagar Arto","UK16","Petrol/Hybrid","Fuel","1.0"
"2023-04-01","Karnataka","29","Regional Transport Office Belagavi","KA22","Petrol/Hybrid","Fuel","43.0"
"2023-08-01","Tamil Nadu","33","Tambaram Rto","TN513","Diesel","Fuel","275.0"
"2024-03-01","West Bengal","19","Uluberia Arto","WB13","Petrol","Fuel","1253.0"
"2023-04-01","Punjab","03","Sdm Banga","PB78","Diesel","Fuel","14.0"
"2023-04-01","Kerala","32","Vandiperiyar Srto","KL37","Petrol/Ethanol","Fuel","9.0"
"2023-12-01","Delhi","07","South Delhi","DL3","Diesel/Hybrid","Fuel","1.0"
"2022-06-01","Odisha","21","Cuttack Rto","OR5","Petrol/Cng","Fuel","18.0"
"2022-02-01","West Bengal","19","Bishnupur Arto","WB87","Electric(Bov)","Fuel","3.0"
"2019-06-01","Tamil Nadu","33","Namakkal (North) Rto","TN28","Petrol/Hybrid","Fuel","1.0"
"2020-02-01","Haryana","06","Rta, Rohtak","HR46","Diesel","Fuel","229.0"
"2019-01-01","Kerala","32","Kattakada Srto","KL74","Petrol","Fuel","832.0"
"2021-02-01","Maharashtra","27","Srirampur","MH17","Cng Only","Fuel","2.0"
"2023-11-01","Maharashtra","27","Ichalkaranji","MH51","Electric(Bov)","Fuel","417.0"
"2022-01-01","Tamil Nadu","33","Chennai (North) Rto","TN5","Diesel","Fuel","134.0"
"2023-10-01","Tamil Nadu","33","Tiruppur (North) Rto","TN39","Petrol","Fuel","1381.0"
"2021-06-01","Haryana","06","Sdm Office Kalka","HR49","Diesel","Fuel","46.0"
"2024-02-01","Madhya Pradesh","23","Chhindwara Arto","MP28","Petrol/Cng","Fuel","4.0"
"2022-02-01","Tamil Nadu","33","Cuddalore Rto","TN31","Cng Only","Fuel","3.0"
"2020-09-01","Assam","18","Udalguri","AS27","Petrol","Fuel","553.0"
"2022-02-01","Odisha","21","Jharsuguda Rto","OR23","Petrol/Hybrid","Fuel","13.0"
"2022-12-01","Punjab","03","Rto Jalandhar","PB8","Petrol/Hybrid","Fuel","76.0"
"2019-08-01","Uttar Pradesh","09","Kannauj","UP74","Petrol/Hybrid","Fuel","2.0"
"2022-12-01","Andhra Pradesh","28","Vuyyuru Uo","AP516","Diesel","Fuel","50.0"
"2024-02-01","Karnataka","29","Honnavar Arto","KA47","Petrol/Cng","Fuel","12.0"
"2021-10-01","Tamil Nadu","33","Tiruvarur Rto","TN50","Electric(Bov)","Fuel","21.0"
"2023-09-01","Uttar Pradesh","09","Mirzapur Rto","UP63","Not Applicable","Fuel","2.0"
"2023-05-01","Himachal Pradesh","02","Rla Nahan","HP18","Petrol/Hybrid","Fuel","4.0"
"2022-06-01","Karnataka","29","Udupi Rto","KA20","Petrol/Hybrid","Fuel","21.0"
"2022-08-01","Himachal Pradesh","02","Rla Paonta Sahib","HP17","Diesel","Fuel","26.0"
"2020-01-01","Uttar Pradesh","09","Sambhal Arto","UP38","Diesel","Fuel","351.0"
"2021-10-01","Puducherry","34","Villianur","PY51","Petrol/Hybrid","Fuel","7.0"
"2024-04-01","Bihar","10","Motihari","BR5","Petrol/Hybrid","Fuel","9.0"
"2022-02-01","Tamil Nadu","33","Madurantagam Uo","TN508","Petrol/Hybrid","Fuel","1.0"
"2021-11-01","Andhra Pradesh","28","Palakole Uo","AP637","Not Applicable","Fuel","5.0"
"2020-02-01","Gujarat","24","Dahod","GJ20","Diesel/Hybrid","Fuel","2.0"
"2022-10-01","Uttar Pradesh","09","Meerut Rto","UP15","Diesel","Fuel","558.0"
"2022-08-01","Rajasthan","08","Banswara Dto","RJ3","Petrol/Cng","Fuel","30.0"
"2019-12-01","Maharashtra","27","Dy Rto Ratnagiri","MH8","Electric(Bov)","Fuel","2.0"
"2023-01-01","The Dadra And Nagar Haveli And Daman And Diu","38","Diu","DD2","Petrol","Fuel","74.0"
"2023-06-01","Haryana","06","Sirsa","HR24","Electric(Bov)","Fuel","4.0"
"2024-05-01","Tamil Nadu","33","Madurantagam Uo","TN508","Cng Only","Fuel","21.0"
"2023-01-01","Madhya Pradesh","23","Vidisha Dto","MP40","Petrol/Cng","Fuel","14.0"
"2019-02-01","Haryana","06","Sdm Indiri","HR75","Diesel","Fuel","36.0"
"2019-09-01","Uttar Pradesh","09","Unnao","UP35","Electric(Bov)","Fuel","57.0"
"2022-09-01","Punjab","03","Sdm Mukerian","PB54","Diesel","Fuel","17.0"
"2021-01-01","Jharkhand","20","Jamtara","JH21","Diesel","Fuel","39.0"
"2019-08-01","Punjab","03","Batala Sdm","PB18","Petrol","Fuel","945.0"
"2021-04-01","Delhi","07","Surajmal Vihar","DL13","Diesel","Fuel","12.0"
"2020-01-01","Tripura","16","Sepahijala Dto","TR7","Cng Only","Fuel","3.0"
"2023-11-01","Gujarat","24","Modasa","GJ31","Petrol/Ethanol","Fuel","47.0"
"2020-07-01","Rajasthan","08","Dungarpur Dto","RJ12","Not Applicable","Fuel","9.0"
"2022-04-01","Madhya Pradesh","23","Chhindwara Arto","MP28","Not Applicable","Fuel","3.0"
"2022-11-01","Karnataka","29","Bidar Rto","KA38","Electric(Bov)","Fuel","15.0"
"2023-02-01","Jammu And Kashmir","01","Jammu Rto","JK2","Petrol/Ethanol","Fuel","1.0"
"2023-01-01","Himachal Pradesh","02","Rla Palampur","HP37","Petrol/Hybrid","Fuel","6.0"
"2019-11-01","Tamil Nadu","33","Kumbakonam Rto","TN68","Diesel","Fuel","160.0"
"2024-02-01","Maharashtra","27","Amrawati","MH27","Petrol/Ethanol","Fuel","49.0"
"2023-04-01","Chhattisgarh","22","Korba Dto","CG12","Petrol/Hybrid","Fuel","32.0"
"2024-04-01","Andhra Pradesh","28","Gajuwaka Rta","AP231","Diesel","Fuel","75.0"
"2021-01-01","Kerala","32","Nilambur Srto","KL71","Petrol","Fuel","1590792.0"
"2023-08-01","Kerala","32","Kollam Rto","KL2","Petrol","Fuel","1963.0"
"2019-07-01","Tamil Nadu","33","Batlagundu Uo","TN596","Petrol/Lpg","Fuel","1.0"
"2019-06-01","West Bengal","19","Bangaon Arto","WB27","Electric(Bov)","Fuel","33.0"
"2020-10-01","Odisha","21","Talcher Rto","OR35","Not Applicable","Fuel","1.0"
"2019-06-01","Bihar","10","Gaya","BR2","Not Applicable","Fuel","3.0"
"2022-05-01","Haryana","06","Ambala City","HR1","Diesel","Fuel","74.0"
"2021-05-01","Tamil Nadu","33","Kumbakonam Rto","TN68","Electric(Bov)","Fuel","5.0"
"2019-07-01","Karnataka","29","Bengaluru East Rto","KA3","Petrol/Cng","Fuel","22.0"
"2023-10-01","Haryana","06","Tosham","HR48","Petrol","Fuel","252.0"
"2023-01-01","Tamil Nadu","33","Vaniyambadi Rto","TN515","Petrol/Cng","Fuel","4.0"
"2023-08-01","Tamil Nadu","33","Kangeyam Uo","TN593","Petrol/Ethanol","Fuel","8.0"
"2023-07-01","Haryana","06","Rta, Bhiwani","HR61","Petrol","Fuel","14.0"
"2021-04-01","West Bengal","19","Murshidabad Rto","WB57","Petrol","Fuel","3274.0"
"2020-06-01","Tamil Nadu","33","Musuri Uo","TN621","Diesel","Fuel","29.0"
"2022-07-01","Tamil Nadu","33","Marthandam Rto","TN75","Lpg Only","Fuel","1.0"
"2024-04-01","Gujarat","24","Gandhinagar","GJ18","Petrol/Ethanol","Fuel","36.0"
"2022-05-01","Karnataka","29","Bengaluru West Rto","KA2","Diesel","Fuel","277.0"
"2022-06-01","Rajasthan","08","Bharatpur Rto","RJ5","Electric(Bov)","Fuel","136.0"
"2024-04-01","Bihar","10","Nalanda","BR21","Petrol","Fuel","2886.0"
"2023-03-01","Gujarat","24","Jamnagar","GJ10","Petrol/Cng","Fuel","112.0"
"2020-03-01","Kerala","32","Thirur Srto","KL55","Petrol/Cng","Fuel","3.0"
"2020-10-01","Gujarat","24","Kachchh","GJ12","Petrol/Hybrid","Fuel","33.0"
"2024-02-01","Odisha","21","Cuttack Rto","OR5","Diesel","Fuel","760.0"
"2023-01-01","Haryana","06","Sdm Radaur","HR92","Diesel","Fuel","40.0"
"2021-04-01","Bihar","10","Bhabhua","BR45","Diesel","Fuel","144.0"
"2019-01-01","Rajasthan","08","Nagaur Dto","RJ21","Petrol/Hybrid","Fuel","1.0"
"2022-01-01","Andhra Pradesh","28","Punganur Uo","AP113","Diesel","Fuel","18.0"
"2019-11-01","Gujarat","24","Morbi","GJ36","Electric(Bov)","Fuel","1.0"
"2019-10-01","Karnataka","29","Dandeli Arto","KA65","Not Applicable","Fuel","73.0"
"2022-11-01","Rajasthan","08","Jhalawar Dto","RJ17","Petrol/Lpg","Fuel","11.0"
"2022-04-01","Rajasthan","08","Jodhpur Rto","RJ19","Petrol/Hybrid","Fuel","17.0"
"2023-08-01","Madhya Pradesh","23","Burhanpur Dto","MP68","Electric(Bov)","Fuel","2.0"
"2022-11-01","Punjab","03","Sdm Jaito","PB62","Petrol","Fuel","78.0"
"2024-02-01","Himachal Pradesh","02","Rla Nahan","HP18","Petrol/Hybrid","Fuel","6.0"
"2022-06-01","Tamil Nadu","33","Salem (West) Rto","TN30","Diesel","Fuel","106.0"
"2022-06-01","Rajasthan","08","Sahapura (Bhilwara) Dto","RJ51","Petrol/Lpg","Fuel","1.0"
"2021-07-01","Ladakh","37","Kargil Arto","LA1","Diesel","Fuel","26.0"
"2021-05-01","Bihar","10","Buxur","BR44","Petrol/Hybrid","Fuel","1.0"
"2023-07-01","West Bengal","19","Nadia Rto","WB51","Petrol/Cng","Fuel","11.0"
"2021-04-01","Karnataka","29","Sakaleshpura Arto","KA46","Diesel","Fuel","58.0"
"2019-07-01","Gujarat","24","Bardoli","GJ19","Diesel/Hybrid","Fuel","4.0"
"2021-07-01","Himachal Pradesh","02","Rto Rampur","HP92","Diesel","Fuel","39.0"
"2023-05-01","Maharashtra","27","Beed","MH23","Not Applicable","Fuel","1.0"
"2020-01-01","Kerala","32","Pathanapuram Srto","KL80","Petrol/Lpg","Fuel","1.0"
"2024-01-01","Kerala","32","Kondotty Srto","KL84","Petrol/Cng","Fuel","7.0"
"2022-06-01","Karnataka","29","Chitradurga Rto","KA16","Diesel","Fuel","606.0"
"2019-08-01","Kerala","32","Nanmanda Srto","KL76","Petrol/Cng","Fuel","1.0"
"2019-04-01","Uttarakhand","05","Tehri Arto","UK9","Petrol","Fuel","153.0"
"2022-04-01","Punjab","03","Rto Sangrur","PB13","Cng Only","Fuel","24.0"
"2022-03-01","Bihar","10","Aurangabad","BR26","Electric(Bov)","Fuel","42.0"
"2020-02-01","Rajasthan","08","Sumerpur Dto","RJ57","Diesel","Fuel","20.0"
"2022-03-01","Himachal Pradesh","02","Rla Arki","HP11","Petrol","Fuel","103.0"
"2022-12-01","Himachal Pradesh","02","Rla Baijnath","HP53","Diesel","Fuel","17.0"
"2024-01-01","Madhya Pradesh","23","Vidisha Dto","MP40","Petrol/Hybrid","Fuel","2.0"
"2023-04-01","Haryana","06","Rta, Kaithal","HR64","Cng Only","Fuel","7.0"
"2021-12-01","Tamil Nadu","33","Ambattur Rto","TN612","Petrol","Fuel","1427.0"
"2023-09-01","Bihar","10","Arawal","BR56","Petrol/Ethanol","Fuel","7.0"
"2022-01-01","Uttarakhand","05","Pauri Rto","UK12","Petrol/Hybrid","Fuel","1.0"
"2023-08-01","Andhra Pradesh","28","Tanuku Uo","AP537","Petrol/Ethanol","Fuel","17.0"
"2023-07-01","Rajasthan","08","M-S Nandan Fitness Testing Center","RJ204","Petrol/Cng","Fuel","1779.0"
"2022-08-01","Uttar Pradesh","09","Moradabad","UP21","Cng Only","Fuel","52.0"
"2022-11-01","Tamil Nadu","33","Neyveli Uo","TN562","Diesel","Fuel","22.0"
"2024-03-01","Karnataka","29","Mandya Rto","KA11","Not Applicable","Fuel","51.0"
"2019-09-01","Karnataka","29","Davanagere Rto","KA17","Petrol/Lpg","Fuel","90.0"
"2019-01-01","Maharashtra","27","Kalyan","MH5","Petrol/Cng","Fuel","844.0"
"2022-01-01","Tamil Nadu","33","Rasipuram Uo","TN526","Petrol/Lpg","Fuel","2.0"
"2021-10-01","Tamil Nadu","33","Chennai (North) Rto","TN5","Petrol/Lpg","Fuel","11.0"
"2022-06-01","Bihar","10","Motihari","BR5","Cng Only","Fuel","5.0"
"2020-01-01","Andhra Pradesh","28","Tanuku Uo","AP537","Petrol/Cng","Fuel","1.0"
"2023-03-01","Haryana","06","Meham","HR15","Petrol","Fuel","192.0"
"2019-10-01","Tamil Nadu","33","Arakkonam Uo","TN609","Petrol","Fuel","673.0"
"2024-05-01","Rajasthan","08","Balotra Dto","RJ39","Pure Ev","Fuel","2.0"
"2021-03-01","Kerala","32","Trivandrum Rto","KL1","Petrol/Lpg","Fuel","31.0"
"2023-07-01","Madhya Pradesh","23","Ratlam Dto","MP43","Petrol/Cng","Fuel","20.0"
"2020-04-01","Kerala","32","Ottappalam Srto","KL51","Petrol","Fuel","25.0"
"2022-12-01","Chhattisgarh","22","Surajpur Dto","CG29","Electric(Bov)","Fuel","55.0"
"2019-10-01","Tamil Nadu","33","Kangeyam Uo","TN593","Petrol","Fuel","284.0"
"2024-05-01","Jammu And Kashmir","01","Budgam Arto","JK4","Electric(Bov)","Fuel","11.0"
"2021-08-01","Arunachal Pradesh","12","Kurung Kumey","AR15","Diesel","Fuel","4.0"
"2021-06-01","Assam","18","Biswanath Chariali","AS32","Petrol","Fuel","211.0"
"2022-10-01","Himachal Pradesh","02","Rla Dheera","HP96","Petrol","Fuel","20.0"
"2022-04-01","Kerala","32","Nedumangadu Srto","KL21","Diesel","Fuel","54.0"
"2021-01-01","Punjab","03","Rto Patiala","PB11","Petrol/Cng","Fuel","24.0"
"2023-07-01","Kerala","32","Aluva Srto","KL41","Cng Only","Fuel","9.0"
"2020-07-01","Andhra Pradesh","28","Gajuwaka Rta","AP231","Petrol","Fuel","636.0"
"2019-10-01","West Bengal","19","Basirhat Arto","WB21","Petrol/Lpg","Fuel","2.0"
"2022-01-01","Uttar Pradesh","09","Varanasi Rto","UP65","Petrol/Hybrid","Fuel","19.0"
"2019-09-01","Kerala","32","Kodungallur Srto","KL47","Petrol","Fuel","523.0"
"2022-02-01","Bihar","10","Bhojpur","BR3","Petrol/Cng","Fuel","11.0"
"2021-03-01","Tamil Nadu","33","Sriperumbudur Rto","TN614","Petrol/Hybrid","Fuel","10.0"
"2019-03-01","Tamil Nadu","33","Rto Chennai (North West)","TN2","Petrol/Hybrid","Fuel","13.0"
"2020-05-01","Puducherry","34","Karaikal","PY2","Diesel","Fuel","1.0"
"2022-06-01","Haryana","06","Sdm Radaur","HR92","Petrol/Cng","Fuel","4.0"
"2021-06-01","Gujarat","24","Anand","GJ23","Petrol/Cng","Fuel","47.0"
"2023-10-01","Haryana","06","Sdm Gharaunda","HR91","Petrol","Fuel","251.0"
"2021-04-01","Assam","18","Kamrup","AS1","Diesel","Fuel","1002.0"
"2021-04-01","Maharashtra","27","Malegaon","MH41","Lpg Only","Fuel","5.0"
"2021-09-01","Haryana","06","Tohana","HR23","Petrol","Fuel","216.0"
"2019-02-01","West Bengal","19","Barasat Rto","WB25","Lpg Only","Fuel","317.0"
"2019-09-01","Gujarat","24","Ahmedabad East","GJ27","Not Applicable","Fuel","1.0"
"2019-07-01","Kerala","32","Mavelikkara Srto","KL31","Diesel","Fuel","78.0"
"2021-05-01","Maharashtra","27","Pen (Raigad)","MH6","Petrol","Fuel","149.0"
"2022-04-01","Assam","18","Karimganj","AS10","Electric(Bov)","Fuel","45.0"
"2021-04-01","Manipur","14","Kangpokpi","MN3","Diesel","Fuel","2.0"
"2022-05-01","Karnataka","29","Tiptur Arto","KA44","Petrol/Cng","Fuel","1.0"
"2023-06-01","Tamil Nadu","33","Tiruvarur Rto","TN50","Cng Only","Fuel","4.0"
"2020-09-01","Himachal Pradesh","02","Rto Bilaspur","HP69","Diesel","Fuel","9.0"
"2019-08-01","Haryana","06","Sdm Badli","HR89","Electric(Bov)","Fuel","1.0"
"2019-11-01","Jharkhand","20","East Singhbhum (Jamshedpur)","JH5","Not Applicable","Fuel","1.0"
"2023-11-01","Goa","30","Panaji Rto","GA7","Petrol","Fuel","838.0"
"2021-01-01","Himachal Pradesh","02","Rla Chopal","HP8","Diesel","Fuel","4.0"
"2022-02-01","Tamil Nadu","33","Uthamapalayam Uo","TN601","Petrol/Cng","Fuel","2.0"
"2022-05-01","Arunachal Pradesh","12","Tawang","AR3","Petrol","Fuel","13.0"
"2020-09-01","Madhya Pradesh","23","Jhabua Dto","MP45","Petrol/Hybrid","Fuel","4.0"
"2023-01-01","The Dadra And Nagar Haveli And Daman And Diu","38","Diu","DD2","Petrol/Hybrid","Fuel","5.0"